"drugA","drugB","Similarity","mPositive","mNegative","mFalse","iPositive","iNegative","iFalse","Score"
"Doxorubicin hydrochloride","Geldanamycin",0.01821,0,0,0,0,0,0,0.00054
"Doxorubicin hydrochloride","H-7, Dihydrochloride",1.240625,1,19,16,34,17,67.5,0.183715
"Doxorubicin hydrochloride","Methotrexate",1.53726,26,4,4,8.5,7.5,13.5,0.115395
"Doxorubicin hydrochloride","Mitomycin C",1.95467,22,12,0,10.5,6,7.5,0.302215
"Doxorubicin hydrochloride","Monastrol",1.87595,0,5,0,3,0.5,0.5,0.646625
"Doxorubicin hydrochloride","Rapamycin",0.927675,3,14,1,12,3.5,11,0.247365
"Doxorubicin hydrochloride","Trichostatin A",0.925505,3,12,0,7.5,1.5,8,0.13296
"Doxorubicin hydrochloride","Vincristine",0.77159,3,6,0,5,1.5,2.5,0.029495
"Etoposide","Geldanamycin",0.02639,0,0,0,0,0,0,0.000625
"Etoposide","H-7, Dihydrochloride",1.12039,1,18,19,38,18.5,78.5,0.144035
"Etoposide","Methotrexate",2.18631,41,5,3,14.5,6.5,14.5,0.18961
"Etoposide","Mitomycin C",2.60174,37,12,0,12,6.5,7,0.48816
"Etoposide","Monastrol",2.50263,0,6,0,2,0.5,0.5,1.053185
"Etoposide","Rapamycin",1.02791,3,12,2,10.5,4.5,10.5,0.301265
"Etoposide","Trichostatin A",1.54859,3,15,0,7.5,3,6.5,0.298705
"Etoposide","Vincristine",0.82649,3,4,1,4.5,1.5,2.5,0.031595
"Geldanamycin","H-7, Dihydrochloride",0.0299,0,0,0,0,0,0,0.002155
"Geldanamycin","Methotrexate",0.03021,0,0,0,0,0,0,-0.000255
"Geldanamycin","Mitomycin C",0.0252,0,0,0,0,0,0,0.000835
"Geldanamycin","Monastrol",0.00523,0,0,0,0,0,0,0.00032
"Geldanamycin","Rapamycin",0.0202,0,0,0,0,0,0,0.003135
"Geldanamycin","Trichostatin A",0.0178,0,0,0,0,0,0,0.000925
"Geldanamycin","Vincristine",0.00864,0,0,0,0,0,0,0
"H-7, Dihydrochloride","Methotrexate",0.474745,3,2,26,29.5,17,63,0.027115
"H-7, Dihydrochloride","Mitomycin C",0.597755,1,5,11,16,12.5,46,0.067315
"H-7, Dihydrochloride","Monastrol",1.78796,0,4,0,2,1.5,6,0.604565
"H-7, Dihydrochloride","Rapamycin",1.754735,4,26,2,19.5,10.5,38,0.932605
"H-7, Dihydrochloride","Trichostatin A",1.533805,3,10,1,12,7,18.5,0.37908
"H-7, Dihydrochloride","Vincristine",1.08405,1,11,4,5.5,2.5,13,0.07264
"Methotrexate","Mitomycin C",2.37613,36,2,0,9,3,8,0.338505
"Methotrexate","Monastrol",0.54031,0,1,0,0.5,0.5,0.5,0.087755
"Methotrexate","Rapamycin",0.39392,3,1,4,4,4.5,7,0.090905
"Methotrexate","Trichostatin A",0.37565,3,0,5,2.5,4.5,8,0.039945
"Methotrexate","Vincristine",0.45128,3,2,2,1,1,1.5,0.00365
"Mitomycin C","Monastrol",0.677675,0,2,0,0,0.5,0,0.124595
"Mitomycin C","Rapamycin",0.572755,2,5,2,4,3.5,5.5,0.12659
"Mitomycin C","Trichostatin A",0.734235,1,5,1,4,2.5,2,0.093385
"Mitomycin C","Vincristine",0.38144,2,1,1,2,1,1.5,0.009295
"Monastrol","Rapamycin",1.23159,0,3,0,2,0,1.5,0.33115
"Monastrol","Trichostatin A",0.0178,0,0,0,0,0,0,0.001785
"Monastrol","Vincristine",0.269915,0,2,0,1,0,0,0.029285
"Rapamycin","Trichostatin A",0.42208,1,3,0,3,2,4.5,0.08873
"Rapamycin","Vincristine",0.46074,0,5,0,2.5,0,1.5,0.04405
"Trichostatin A","Vincristine",0.1551,1,1,0,0.5,0,0.5,0.007525
