"drugA","drugB","Similarity","mPositive","mNegative","mFalse","iPositive","iNegative","iFalse","Score"
"Doxorubicin hydrochloride","Rapamycin",1.065715,23,5,0,21,5.5,18,0.26055
"Doxorubicin hydrochloride","Trichostatin A",1.12638,16,10,0,5.5,5.5,9,0.165875
"Doxorubicin hydrochloride","Vincristine",0.695335,20,1,1,11,4.5,10.5,0.032555
"Etoposide","Geldanamycin",0.02625,0,0,0,0,0,0,0.00062
"Etoposide","H-7, Dihydrochloride",2.305575,36,8,14,75.5,21.5,79.5,0.484325
"Etoposide","Methotrexate",3.19341,69,5,5,31.5,5.5,35,0.42563
"Etoposide","Mitomycin C",3.18667,52,7,0,21.5,5.5,13.5,0.7003
"Etoposide","Monastrol",0.617095,5,2,0,3.5,0.5,3,0.08805
"Etoposide","Rapamycin",1.20888,23,4,1,26,5.5,23,0.294425
"Etoposide","Trichostatin A",1.312105,12,10,0,11,5.5,10,0.20479
"Etoposide","Vincristine",1.063215,27,0,1,14.5,4,12,0.057545
"Geldanamycin","H-7, Dihydrochloride",0.03086,0,0,0,0,0,0,0.00223
"Geldanamycin","Methotrexate",0.03668,0,0,0,0,0,0,-3e-04
"Geldanamycin","Mitomycin C",0.03227,0,0,0,0,0,0,0.001085
"Geldanamycin","Monastrol",0.00855,0,0,0,0,0,0,0.000525
"Geldanamycin","Rapamycin",0.02235,0,0,0,0,0,0,0.003475
"Geldanamycin","Trichostatin A",0.02154,0,0,0,0,0,0,0.00113
"Geldanamycin","Vincristine",0.01452,0,0,0,0,0,0,5e-06
"H-7, Dihydrochloride","Methotrexate",2.900985,44,2,17,101,15.5,99,0.392955
"H-7, Dihydrochloride","Mitomycin C",2.578515,29,2,6,61.5,7.5,41,0.69887
"H-7, Dihydrochloride","Monastrol",2.86957,17,1,0,25,0,9.5,1.3095
"H-7, Dihydrochloride","Rapamycin",3.38309,86,10,0,100.5,18,74,2.540835
"H-7, Dihydrochloride","Trichostatin A",2.28845,25,5,4,36,15.5,32,0.72117
"H-7, Dihydrochloride","Vincristine",2.73724,68,5,3,66,9,55.5,0.438645
"Methotrexate","Mitomycin C",3.33899,51,2,0,24,3,15,0.68367
"Methotrexate","Monastrol",0.864035,5,1,1,6,0.5,2.5,0.12656
"Methotrexate","Rapamycin",1.5751,22,1,3,31,4.5,28.5,0.355125
"Methotrexate","Trichostatin A",1.197225,14,0,5,12,4.5,16.5,0.15408
"Methotrexate","Vincristine",1.608855,27,2,1,20.5,1,20.5,0.056465
"Mitomycin C","Monastrol",0.66217,3,0,0,4.5,0.5,0,0.092025
"Mitomycin C","Rapamycin",1.493275,16,2,1,22.5,3.5,10.5,0.375275
"Mitomycin C","Trichostatin A",1.032975,5,3,1,9,4,2,0.134305
"Mitomycin C","Vincristine",1.27775,18,0,1,13.5,2,7,0.11475
"Monastrol","Rapamycin",0.760115,8,0,0,7,0,2,0.16437
"Monastrol","Trichostatin A",0.31616,2,0,0,2.5,0,2.5,0.042685
"Monastrol","Vincristine",0.49197,7,1,0,5,0,1,0.065895
"Rapamycin","Trichostatin A",0.804385,14,2,0,10,4,12,0.18269
"Rapamycin","Vincristine",1.116745,34,1,0,20,2.5,15,0.211255
"Trichostatin A","Vincristine",0.65536,12,0,1,8,3,5.5,0.061245
